DAY,TANK,ENVIRON,TREATCODE,Cer_ug,Sca_ug,Dapp_ug,e_chl,i_chl,tot_chl,l_cer,l_sca,l_dap,l_edib,l_ined,l_totchl
1,16,CO,25,0,0,0,190.19,3.67,193.86,0,0,0,2.281465173,0.669316881,2.289722698
2,16,CO,25,0,0,0,146.22,1.09,147.31,0,0,0,2.167966813,0.320146286,2.171170435
3,16,CO,25,0,0,0,119.48,3.78,123.26,0,0,0,2.080914959,0.679427897,2.094331349
4,16,CO,25,0,0.438246791,1.991436134,94.77,-10.45,84.32,0,0.157833414,0.475879735,1.981229487,0,1.931050847
5,16,CO,25,0,0,0,109.98,2.93,112.91,0,0,0,2.04524472,0.59439255,2.056561852
6,16,CO,25,0,2.654632495,9.214088944,136.38,14.64,151.02,0,0.562843711,1.009199635,2.137923512,1.194236749,2.181900728
7,16,CO,25,0,2.629480745,7.408425742,80.99,0.09,81.08,0,0.559844497,0.924714693,1.913760886,0.037426498,1.914237348
8,16,CO,25,0,0.649469093,465.2079806,2.88,0.02,2.9,0,0.217344182,2.668579704,0.588831726,0.008600172,0.591064607
9,16,CO,25,0,0.649469093,234.0405925,1.63,0.65,2.28,0,0.217344182,2.371142873,0.419955748,0.217483944,0.515873844
10,16,CO,25,0,1.412450431,823.6806509,1.07,0.31,1.38,0,0.382458399,2.916285805,0.315970345,0.117271296,0.376576957
11,16,CO,25,0,0,123.7139624,1.07,0.31,1.38,0,0,2.095915078,0.315970345,0.117271296,0.376576957
12,16,CO,25,1.822111,1.298938186,1134.136423,1.82,0.4,2.22,0.450574092,0.361527294,3.055048059,0.450249108,0.146128036,0.507855872
13,16,CO,25,0,0,510.6690405,1.06,0.37,1.43,0,0,2.70898914,0.31386722,0.136720567,0.385606274
14,16,CO,25,0,0,206.0763611,0.94,0.07,1.01,0,0,2.316130525,0.28780173,0.029383778,0.303196057
15,16,CO,25,0.410633676,0.056756122,184.2001382,1.11,-0.09,1.02,0.149414247,0.023974773,2.267641306,0.324282455,-0.040958608,0.305351369
16,16,CO,25,0,0,27.4564939,1.23,0.17,1.4,0,0,1.45418139,0.348304863,0.068185862,0.380211242
17,16,CO,25,0,0,68.4519203,1.35,0.43,1.78,0,0,1.841684258,0.371067862,0.155336037,0.444044796
18,16,CO,25,0.410633676,1.314740373,92.66863366,1.63,0.44,2.07,0.149414247,0.364502286,1.971594185,0.419955748,0.158362492,0.487138375
19,16,CO,25,0,0,219.9051987,1.4,0.02,1.42,0,0,2.344205937,0.380211242,0.008600172,0.383815366
20,16,CO,25,0,1.702683664,261.048498,1.83,0.13,1.96,0,0.431795217,2.418381675,0.451786436,0.053078443,0.471291711
21,16,CO,25,0,0.324734547,145.0624411,1.72,0.13,1.85,0,0.122128862,2.164538555,0.434568904,0.053078443,0.45484486
22,16,CO,25,8.392249809,2.711388617,98.06313173,2.36,0.64,3,0.972769635,0.569536431,1.995912053,0.526339277,0.214843848,0.602059991
23,16,CO,25,0.044894075,0,62.55925259,2.7,0.36,3.06,0.019072266,0,1.803178782,0.568201724,0.133538908,0.608526034
24,16,CO,25,0.821267351,0,20.62787849,3.29,0.2,3.49,0.260373702,0,1.335013921,0.632457292,0.079181246,0.652246341
25,16,CO,25,0.821267351,0,139.2963972,5.13,0.85,5.98,0.260373702,0,2.147046518,0.787460475,0.267171728,0.843855423
26,16,CO,25,0,0,57.61794108,4.01,0.36,4.37,0,0,1.76803056,0.699837726,0.133538908,0.729974286
27,16,CO,25,0,0,93.33008469,3.63,0.6,4.23,0,0,1.974650224,0.665580991,0.204119983,0.718501689
28,16,CO,25,0,0,685.3522608,3.5,0.53,4.03,0,0,2.836547069,0.653212514,0.184691431,0.701567985
29,16,CO,25,0,0,168.5514712,3.24,0.44,3.68,0,0,2.229301563,0.627365857,0.158362492,0.670245853
30,16,CO,25,0,0,156.3720984,,,,0,0,2.196927736,0,0,0
31,16,CO,25,0,0,28.19958563,,,,0,0,1.465376688,0,0,0
32,16,CO,25,0.410633676,0,2.734527862,,,,0.149414247,0,0.572235704,0,0,0